Jurisdiction,Measure Names,Measure Values
Grundy,COVID-19 Vaccine Regimen Initiated,4155
Greene,COVID-19 Vaccine Regimen Initiated,170175
Gentry,COVID-19 Vaccine Regimen Initiated,3153
Gasconade,COVID-19 Vaccine Regimen Initiated,7431
Franklin,COVID-19 Vaccine Regimen Initiated,60047
Dunklin,COVID-19 Vaccine Regimen Initiated,12070
Douglas,COVID-19 Vaccine Regimen Initiated,3732
Dent,COVID-19 Vaccine Regimen Initiated,5896
DeKalb,COVID-19 Vaccine Regimen Initiated,4308
Daviess,COVID-19 Vaccine Regimen Initiated,3374
Dallas,COVID-19 Vaccine Regimen Initiated,6777
Dade,COVID-19 Vaccine Regimen Initiated,3589
Crawford,COVID-19 Vaccine Regimen Initiated,9388
Cooper,COVID-19 Vaccine Regimen Initiated,8852
Cole,COVID-19 Vaccine Regimen Initiated,45445
Clinton,COVID-19 Vaccine Regimen Initiated,10903
Clay,COVID-19 Vaccine Regimen Initiated,65506
Clark,COVID-19 Vaccine Regimen Initiated,2196
Christian,COVID-19 Vaccine Regimen Initiated,46294
Chariton,COVID-19 Vaccine Regimen Initiated,3461
Cedar,COVID-19 Vaccine Regimen Initiated,5536
Cass,COVID-19 Vaccine Regimen Initiated,61653
Carter,COVID-19 Vaccine Regimen Initiated,2170
Carroll,COVID-19 Vaccine Regimen Initiated,4445
Cape Girardeau,COVID-19 Vaccine Regimen Initiated,44477
Camden,COVID-19 Vaccine Regimen Initiated,22115
Callaway,COVID-19 Vaccine Regimen Initiated,24293
Caldwell,COVID-19 Vaccine Regimen Initiated,3823
Butler,COVID-19 Vaccine Regimen Initiated,17070
Buchanan,COVID-19 Vaccine Regimen Initiated,42742
Boone,COVID-19 Vaccine Regimen Initiated,129239
Bollinger,COVID-19 Vaccine Regimen Initiated,4128
Benton,COVID-19 Vaccine Regimen Initiated,10122
Bates,COVID-19 Vaccine Regimen Initiated,7156
Barton,COVID-19 Vaccine Regimen Initiated,4384
Barry,COVID-19 Vaccine Regimen Initiated,16633
Audrain,COVID-19 Vaccine Regimen Initiated,11429
Atchison,COVID-19 Vaccine Regimen Initiated,3072
Andrew,COVID-19 Vaccine Regimen Initiated,8773
Adair,COVID-19 Vaccine Regimen Initiated,13356
Wright,Total Doses Administered,13884
Worth,Total Doses Administered,1579
Webster,Total Doses Administered,32889
Wayne,Total Doses Administered,8453
Washington,Total Doses Administered,18435
Warren,Total Doses Administered,32696
Vernon,Total Doses Administered,14666
Unknown Jurisdiction,Total Doses Administered,171520
Texas,Total Doses Administered,17163
Taney,Total Doses Administered,49876
Sullivan,Total Doses Administered,5292
Stone,Total Doses Administered,28042
Stoddard,Total Doses Administered,23646
Ste. Genevieve,Total Doses Administered,14147
St. Louis City,Total Doses Administered,389310
St. Louis,Total Doses Administered,1400637
St. Francois,Total Doses Administered,62057
St. Clair,Total Doses Administered,7348
St. Charles,Total Doses Administered,531566
Shelby,Total Doses Administered,5402
Shannon,Total Doses Administered,5624
Scott,Total Doses Administered,32995
Scotland,Total Doses Administered,2596
Schuyler,Total Doses Administered,2719
Saline,Total Doses Administered,22673
Ripley,Total Doses Administered,8100
Reynolds,Total Doses Administered,4015
Ray,Total Doses Administered,21457
Randolph,Total Doses Administered,20913
Ralls,Total Doses Administered,8450
Putnam,Total Doses Administered,3141
Pulaski,Total Doses Administered,25915
Polk,Total Doses Administered,28109
Platte,Total Doses Administered,51585
Pike,Total Doses Administered,14173
Phelps,Total Doses Administered,41550
Pettis,Total Doses Administered,39587
Perry,Total Doses Administered,16163
Pemiscot,Total Doses Administered,9859
Ozark,Total Doses Administered,5839
Osage,Total Doses Administered,12335
Oregon,Total Doses Administered,6878
Nodaway,Total Doses Administered,22268
Newton,Total Doses Administered,33730
New Madrid,Total Doses Administered,13235
Morgan,Total Doses Administered,15568
Montgomery,Total Doses Administered,11078
Monroe,Total Doses Administered,7522
Moniteau,Total Doses Administered,13051
Mississippi,Total Doses Administered,10794
Miller,Total Doses Administered,19760
Mercer,Total Doses Administered,2822
McDonald,Total Doses Administered,15968
Marion,Total Doses Administered,24336
Maries,Total Doses Administered,7086
Madison,Total Doses Administered,10075
Macon,Total Doses Administered,13017
Livingston,Total Doses Administered,14158
Linn,Total Doses Administered,11388
Lincoln,Total Doses Administered,52580
Lewis,Total Doses Administered,6404
Lawrence,Total Doses Administered,33583
Lafayette,Total Doses Administered,31549
Laclede,Total Doses Administered,27564
Knox,Total Doses Administered,3325
Kansas City,Total Doses Administered,643352
Joplin,Total Doses Administered,69591
Johnson,Total Doses Administered,42694
Jefferson,Total Doses Administered,241171
Jasper,Total Doses Administered,56698
Jackson,Total Doses Administered,327627
Iron,Total Doses Administered,7980
Independence,Total Doses Administered,134322
Howell,Total Doses Administered,31085
Howard,Total Doses Administered,9451
Holt,Total Doses Administered,3748
Hickory,Total Doses Administered,8236
Henry,Total Doses Administered,22320
Harrison,Total Doses Administered,5878
Grundy,Total Doses Administered,7708
Greene,Total Doses Administered,318537
Gentry,Total Doses Administered,5856
Gasconade,Total Doses Administered,14057
Franklin,Total Doses Administered,113082
Dunklin,Total Doses Administered,21988
Douglas,Total Doses Administered,6842
Dent,Total Doses Administered,11022
DeKalb,Total Doses Administered,8006
Daviess,Total Doses Administered,6183
Dallas,Total Doses Administered,12732
Dade,Total Doses Administered,6735
Crawford,Total Doses Administered,17404
Cooper,Total Doses Administered,16694
Cole,Total Doses Administered,85478
Clinton,Total Doses Administered,20411
Clay,Total Doses Administered,123131
Clark,Total Doses Administered,4063
Christian,Total Doses Administered,86909
Chariton,Total Doses Administered,6548
Cedar,Total Doses Administered,10309
Cass,Total Doses Administered,115350
Carter,Total Doses Administered,4026
Carroll,Total Doses Administered,8220
Cape Girardeau,Total Doses Administered,83248
Camden,Total Doses Administered,40288
Callaway,Total Doses Administered,45200
Caldwell,Total Doses Administered,7105
Butler,Total Doses Administered,31395
Buchanan,Total Doses Administered,79253
Boone,Total Doses Administered,242259
Bollinger,Total Doses Administered,7769
Benton,Total Doses Administered,19186
Bates,Total Doses Administered,13341
Barton,Total Doses Administered,8154
Barry,Total Doses Administered,30786
Audrain,Total Doses Administered,21387
Atchison,Total Doses Administered,5578
Andrew,Total Doses Administered,16437
Adair,Total Doses Administered,25027
