Jurisdiction,Measure Names,Measure Values
Saline,Percent of Population Completing Vaccination,0.489345811
Ripley,Percent of Population Completing Vaccination,0.295529801
Reynolds,Percent of Population Completing Vaccination,0.318341308
Ray,Percent of Population Completing Vaccination,0.496307238
Randolph,Percent of Population Completing Vaccination,0.413003071
Ralls,Percent of Population Completing Vaccination,0.408187021
Putnam,Percent of Population Completing Vaccination,0.338798978
Pulaski,Percent of Population Completing Vaccination,0.227156082
Polk,Percent of Population Completing Vaccination,0.433823758
Platte,Percent of Population Completing Vaccination,0.464982800
Pike,Percent of Population Completing Vaccination,0.392525407
Phelps,Percent of Population Completing Vaccination,0.455230745
Pettis,Percent of Population Completing Vaccination,0.453317272
Perry,Percent of Population Completing Vaccination,0.418269231
Pemiscot,Percent of Population Completing Vaccination,0.305662765
Ozark,Percent of Population Completing Vaccination,0.306300414
Osage,Percent of Population Completing Vaccination,0.452221814
Oregon,Percent of Population Completing Vaccination,0.316174376
Nodaway,Percent of Population Completing Vaccination,0.501720080
Newton,Percent of Population Completing Vaccination,0.330389661
New Madrid,Percent of Population Completing Vaccination,0.374092293
Morgan,Percent of Population Completing Vaccination,0.381247879
Montgomery,Percent of Population Completing Vaccination,0.468963726
Monroe,Percent of Population Completing Vaccination,0.424919019
Moniteau,Percent of Population Completing Vaccination,0.399268535
Mississippi,Percent of Population Completing Vaccination,0.409028832
Miller,Percent of Population Completing Vaccination,0.401030485
Mercer,Percent of Population Completing Vaccination,0.394802322
McDonald,Percent of Population Completing Vaccination,0.332180234
Marion,Percent of Population Completing Vaccination,0.424956186
Maries,Percent of Population Completing Vaccination,0.406461998
Madison,Percent of Population Completing Vaccination,0.406022502
Macon,Percent of Population Completing Vaccination,0.432427069
Livingston,Percent of Population Completing Vaccination,0.467918828
Linn,Percent of Population Completing Vaccination,0.465436242
Lincoln,Percent of Population Completing Vaccination,0.439530273
Lewis,Percent of Population Completing Vaccination,0.331730769
Lawrence,Percent of Population Completing Vaccination,0.437126841
Lafayette,Percent of Population Completing Vaccination,0.482695365
Laclede,Percent of Population Completing Vaccination,0.383058534
Knox,Percent of Population Completing Vaccination,0.432179843
Kansas City,Percent of Population Completing Vaccination,0.630032282
Joplin,Percent of Population Completing Vaccination,0.660991654
Johnson,Percent of Population Completing Vaccination,0.385464837
Jefferson,Percent of Population Completing Vaccination,0.533656772
Jasper,Percent of Population Completing Vaccination,0.355528626
Jackson,Percent of Population Completing Vaccination,0.606928309
Iron,Percent of Population Completing Vaccination,0.387358025
Independence,Percent of Population Completing Vaccination,0.570419638
Howell,Percent of Population Completing Vaccination,0.380362440
Howard,Percent of Population Completing Vaccination,0.456554345
Holt,Percent of Population Completing Vaccination,0.477856007
Hickory,Percent of Population Completing Vaccination,0.427912825
Henry,Percent of Population Completing Vaccination,0.503344941
Harrison,Percent of Population Completing Vaccination,0.367217433
Grundy,Percent of Population Completing Vaccination,0.415329949
Greene,Percent of Population Completing Vaccination,0.536548999
Gentry,Percent of Population Completing Vaccination,0.457616801
Gasconade,Percent of Population Completing Vaccination,0.479464164
Franklin,Percent of Population Completing Vaccination,0.545500014
Dunklin,Percent of Population Completing Vaccination,0.374480794
Douglas,Percent of Population Completing Vaccination,0.248540008
Dent,Percent of Population Completing Vaccination,0.340461054
DeKalb,Percent of Population Completing Vaccination,0.331792460
Daviess,Percent of Population Completing Vaccination,0.412418459
Dallas,Percent of Population Completing Vaccination,0.373503970
Dade,Percent of Population Completing Vaccination,0.453643698
Crawford,Percent of Population Completing Vaccination,0.363085284
Cooper,Percent of Population Completing Vaccination,0.463380202
Cole,Percent of Population Completing Vaccination,0.556531370
Clinton,Percent of Population Completing Vaccination,0.509883749
Clay,Percent of Population Completing Vaccination,0.501536363
Clark,Percent of Population Completing Vaccination,0.305723113
Christian,Percent of Population Completing Vaccination,0.485377279
Chariton,Percent of Population Completing Vaccination,0.439806087
Cedar,Percent of Population Completing Vaccination,0.361558297
Cass,Percent of Population Completing Vaccination,0.536616783
Carter,Percent of Population Completing Vaccination,0.320461384
Carroll,Percent of Population Completing Vaccination,0.514575412
