table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in Missouri: April 1, 2020 to July 1, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,2021,2022,2023,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Howell County, Missouri","39,754","39,806","40,026","40,612","40,707","40,762",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Iron County, Missouri","9,535","9,513","9,431","9,411","9,454","9,420",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Jackson County, Missouri","717,214","717,662","717,993","716,580","720,283","727,362",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Jasper County, Missouri","122,750","122,896","123,324","123,969","125,117","126,479",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Jefferson County, Missouri","226,569","226,947","228,030","229,268","231,155","231,888",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Johnson County, Missouri","54,012","54,039","54,209","54,423","55,107","55,880",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Knox County, Missouri","3,742","3,739","3,786","3,777","3,736","3,740",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Laclede County, Missouri","36,038","36,046","36,163","36,330","36,674","36,738",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Lafayette County, Missouri","32,977","33,050","32,835","32,937","33,244","33,511",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Lawrence County, Missouri","38,004","37,998","38,263","38,672","38,879","39,151",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Lewis County, Missouri","10,036","10,039","10,000","9,888","9,840","9,852",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Lincoln County, Missouri","59,577","59,857","61,651","63,184","64,707","65,888",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Linn County, Missouri","11,873","11,857","11,844","11,842","11,808","11,910",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Livingston County, Missouri","14,560","13,990","14,206","14,365","14,595","14,658",,,,,,,,,,,,,,,,,,,,,,,,,,,
".McDonald County, Missouri","23,298","23,278","23,432","23,623","24,117","24,054",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Macon County, Missouri","15,210","15,199","15,183","15,084","15,173","15,177",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Madison County, Missouri","12,625","12,625","12,665","12,763","12,739","12,852",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Maries County, Missouri","8,427","8,451","8,418","8,434","8,441","8,506",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Marion County, Missouri","28,533","28,493","28,564","28,489","28,312","28,425",,,,,,,,,,,,,,,,,,,,,,,,,,,
